"zona","state","municipio","head","hotel"
"1","Cancun","Cancun","Cancun","Villa Palmeras Cancun"
"1","Cancun","Cancun","Cancun","Villas Las Capulas Cancun"
"1","Cancun","Cancun","Cancun","Villas Las Cupulas"
"1","Cancun","Cancun","Cancun","Villas Marlin"
"1","Cancun","Cancun","Cancun","Villas Nizuc"
"1","Cancun","Cancun","Cancun","Westin Club Regina Cancun"
"1","Cancun","Cancun","Cancun","Westin Resort & Spa Cancun"
"1","Cancun","Cancun","Cancun","WorldMark Isla Mujeres"
"2","Cancun","Cancun","Cancun Centro","Agavero Hostel Cancun"
"2","Cancun","Cancun","Cancun Centro","Amara Cancun Beachfront Condos"
"2","Cancun","Cancun","Cancun Centro","Bed and Breakfast Eclipse"
"2","Cancun","Cancun","Cancun Centro","Bed and Breakfast Pecari Cancun"
"2","Cancun","Cancun","Cancun Centro","Blue Star Cancun"
"2","Cancun","Cancun","Cancun Centro","Cancun International Suites"
"2","Cancun","Cancun","Cancun Centro","Cancun Towers Cancun"
"2","Cancun","Cancun","Cancun Centro","Casa Wayak"
"2","Cancun","Cancun","Cancun Centro","Casa YOSHIDA CANCUN"
"2","Cancun","Cancun","Cancun Centro","City Express Plus Cancun Airport"
"2","Cancun","Cancun","Cancun Centro","Comfort Inn Cancun Airport"
"2","Cancun","Cancun","Cancun Centro","Condominio Horizontes Cancun"
"2","Cancun","Cancun","Cancun Centro","Courtyard Marriott Cancun Airport"
"2","Cancun","Cancun","Cancun Centro","Dental Design Studio"
"2","Cancun","Cancun","Cancun Centro","Dreams Vista Cancun Resort & Spa Puerto Cancun "
"2","Cancun","Cancun","Cancun Centro","El Rey Del Caribe Cancun"
"2","Cancun","Cancun","Cancun Centro","Fairfield Inn & Suites by Marriott Cancun Airport"
"2","Cancun","Cancun","Cancun Centro","Fiesta Inn Cancun Las Americas "
"2","Cancun","Cancun","Cancun Centro","Four Points By Sheraton"
"2","Cancun","Cancun","Cancun Centro","Garden Suites Cancun"
"2","Cancun","Cancun","Cancun Centro","Granada 6 Hostel Cancun"
"2","Cancun","Cancun","Cancun Centro","Habitalia Paraiso Cancun"
"2","Cancun","Cancun","Cancun Centro","Hampton Inn By Hilton Cancun"
"2","Cancun","Cancun","Cancun Centro","Haven Riviera Cancún"
"2","Cancun","Cancun","Cancun Centro","Hopelchen Condo Cancun"
"2","Cancun","Cancun","Cancun Centro","Hostalito Mexican Hostel"
"2","Cancun","Cancun","Cancun Centro","Hostel Ka'beh Cancun"
"2","Cancun","Cancun","Cancun Centro","Hostel Mundo Maya Cancun"
"2","Cancun","Cancun","Cancun Centro","Hotel Antillano Cancun"
"2","Cancun","Cancun","Cancun Centro","HOTEL BONAMPAK Cancun"
"2","Cancun","Cancun","Cancun Centro","Hotel Caribe Internacional Cancun"
"2","Cancun","Cancun","Cancun Centro","Hotel Carrillos Cancun"
"2","Cancun","Cancun","Cancun Centro","Hotel City Express Junior Cancun"
"2","Cancun","Cancun","Cancun Centro","Hotel Hacienda De Castilla Cancun "
"2","Cancun","Cancun","Cancun Centro","Hotel Horizontes Cancun"
"2","Cancun","Cancun","Cancun Centro","Hotel Ibis Cancun Centro"
"2","Cancun","Cancun","Cancun Centro","Hotel los girasoles cancun centro"
"2","Cancun","Cancun","Cancun Centro","Hotel One Cancun"
"2","Cancun","Cancun","Cancun Centro","Hotel Plaza Caribe Cancun"
"2","Cancun","Cancun","Cancun Centro","Hotel Plaza Kokai Cancun"
"2","Cancun","Cancun","Cancun Centro","Hotel Rivemar Cancun"
"2","Cancun","Cancun","Cancun Centro","Hotel Soberanis Cancun"
"2","Cancun","Cancun","Cancun Centro","Hotel Terra Caribe Cancun "
"2","Cancun","Cancun","Cancun Centro","Kavia Cancun"
"2","Cancun","Cancun","Cancun Centro","Kin Mayab Cancun"
"2","Cancun","Cancun","Cancun Centro","Krystal Urban Cancun"
"2","Cancun","Cancun","Cancun Centro","La Amada Residences Cancun"
"2","Cancun","Cancun","Cancun Centro","Marazul Hotel Boutique Yacht & Beach Club"
"2","Cancun","Cancun","Cancun Centro","Maya Cha'an Hostel Cancun"
"2","Cancun","Cancun","Cancun Centro","Mezcal Hostel Cancun"
"2","Cancun","Cancun","Cancun Centro","Mundo Joven Hostel Cancun"
"2","Cancun","Cancun","Cancun Centro","Nomads Hotel"
"2","Cancun","Cancun","Cancun Centro","Oasis Smart Cancun"
"2","Cancun","Cancun","Cancun Centro","Oh! The Urban Oasis Cancun"
"2","Cancun","Cancun","Cancun Centro","Pa Xa Mama Hotel Boutique"
"2","Cancun","Cancun","Cancun Centro","Pueblito Hostel Cancun"
"2","Cancun","Cancun","Cancun Centro","Ramada Cancun City Cancun"
"2","Cancun","Cancun","Cancun Centro","Renaissance Cancun Resort & Marina"
"2","Cancun","Cancun","Cancun Centro","Selina Cancun Downtown"
"2","Cancun","Cancun","Cancun Centro","Solo Buceo Cancun"
"2","Cancun","Cancun","Cancun Centro","Spacio Nube"
"2","Cancun","Cancun","Cancun Centro","Suites Gaby Cancun"
"2","Cancun","Cancun","Cancun Centro","Suites Malecon Cancun"
"2","Cancun","Cancun","Cancun Centro","Suites Rosas Cancun"
"2","Cancun","Cancun","Cancun Centro","Sunscape Star Cancun All Inclusive"
"2","Cancun","Cancun","Cancun Centro","Taina Residencial Cancun"
"2","Cancun","Cancun","Cancun Centro","The Tierra Caribe Hotel Cancun"
"2","Cancun","Cancun","Cancun Centro","Ticuch Melida Plaza"
"2","Cancun","Cancun","Cancun Centro","Tulipanes Cancun"
"2","Cancun","Cancun","Cancun Centro","Vacation Rentals Condos at Horizontes Cancun & Tziara Sky"
"2","Cancun","Cancun","Cancun Centro","Villa Romantica Cancun"
"2","Cancun","Cancun","Cancun Centro","Villas Miramar "
"3","Cancun","Cancun","Playa Mujeres","All Ritmo Cancun "
"3","Cancun","Cancun","Playa Mujeres","Casa Mexicana cancun"
"3","Cancun","Cancun","Playa Mujeres","Dreams Playa Mujeres"
"3","Cancun","Cancun","Playa Mujeres","Estudio Playa Mujeres"
"3","Cancun","Cancun","Playa Mujeres","Excellence Playa Mujeres"
"3","Cancun","Cancun","Playa Mujeres","Finest Playa Mujeres"
"3","Cancun","Cancun","Playa Mujeres","Hostal Haina Cancun"
"3","Cancun","Cancun","Playa Mujeres","Hostel Quetzal Cancun "
"3","Cancun","Cancun","Playa Mujeres","Hotel Atelier Playa Mujeres"
"3","Cancun","Cancun","Playa Mujeres","Hotel Boutique Casa Mallorca Cancun"
"3","Cancun","Cancun","Playa Mujeres","Hotel Del Sol Puerto Juarez"
"3","Cancun","Cancun","Playa Mujeres","LQ Hotel by La Quinta Cancun"
"3","Cancun","Cancun","Playa Mujeres","Mayampe Private Village"
"3","Cancun","Cancun","Playa Mujeres","Parador Hotel Cancun"
"3","Cancun","Cancun","Playa Mujeres","Private Destination Playa Mujeres"
"3","Cancun","Cancun","Playa Mujeres","Secrets Playa Mujeres"
"3","Cancun","Cancun","Playa Mujeres","The Beloved Hotel - Playa Mujeres"
"3","Cancun","Cancun","Playa Mujeres","Villa Del Palmar - Playa Mujeres "
"3","Cancun","Cancun","Playa Mujeres","Villa Estilo Mexicano Cancun"
"3","Cancun","Cancun","Playa Mujeres","Xbalanque Hotel & Spa Cancun"
"3","Cancun","Cancun","Playa Mujeres","Xoximilco Park"
"4","Cancun","Cancun","Isla Blanca","Hotel Planet Hollywood"
"4","Cancun","Cancun","Isla Blanca","Majestic Elegance Playa Mujeres"
"4","Cancun","Cancun","Isla Blanca","Palladium Costa Mujeres"
"4","Cancun","Cancun","Isla Blanca","Private Destination Isla Blanca"
"4","Cancun","Cancun","Isla Blanca","Riu Dunamar"
"4","Cancun","Cancun","Isla Blanca","Riu Dunamar Playa Mujeres"
"4","Cancun","Cancun","Isla Blanca","Riu Palace Costa Mujeres"
"4","Cancun","Cancun","Isla Blanca","TRS Coral Hotel"
"4","Cancun","Cancun","Isla Blanca","TRS Costa Mujeres"
"4","Cancun","Cancun","Isla Blanca","Catalonia Costa Mujeres"
"5","Cancun","Cancun","Puerto Morelos","Abbey del Sol"
"5","Cancun","Cancun","Puerto Morelos","Acamaya Reef Cabanas Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Arena Beach Club Hotel Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Arrecifes Suites Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Azul Beach Hotel By Karisma Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Azul Beach Resort Riviera Cancun - Sensatori"
"5","Cancun","Cancun","Puerto Morelos","Azul Beach Resort Riviera Cancun - Sensatori (Puerto Morelos)"
"5","Cancun","Cancun","Puerto Morelos","Azul Beach Resort Riviera Maya by Karisma Hotels (Puerto Morelos)"
"5","Cancun","Cancun","Puerto Morelos","Azul Mar Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Breathless Riviera Cancun Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Cabañas Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Caribbean Reef Villas Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Casa Alegria Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Casa Caribbean Breeze Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Casa Caribe Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Casa del Mar - Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Casa del Puerto"
"5","Cancun","Cancun","Puerto Morelos","Casa Mulder Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Casa South Breeze by SkyRun Rivera Maya Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Casa Toucan Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Casa Velero Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Casita Blanca Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Casita Del Mar"
"5","Cancun","Cancun","Puerto Morelos","Casitas Kinsol-Guest House-Hostel Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Ceiba Del Mar Spa Resort"
"5","Cancun","Cancun","Puerto Morelos","Condo Hopelchen"
"5","Cancun","Cancun","Puerto Morelos","Condominios lindos Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Corales Suites Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Desire Riviera Maya Pearl Resort Puerto Morelos"
